,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9192549002213406534,Chrome OS now has Material Design for the desktop,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Closure Compiler in JavaScript,Elastic Stack 5.0.0 Released,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Sam Newman - Backends For Frontends,Pull request first - Practical Blend,Clean Coder Blog,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",The Importance of Code Reviews
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,The barbell effect of machine learning.,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Shopping app Spring's redesign could be a game-changer,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
-9160910454530522563,"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,The End Of Apple Man,Containers are not VMs,CSS Containment in Chrome 52 | Web Updates - Google Developers,19 Tips For Everyday Git Use
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,Piloto de caça criado por inteligência artificial vence humano em combate simulado,Nintendo has doubled in value since Pokémon Go's release,Blaise Agüera y Arcas: How computers are learning to be creative,7 Questions to Ask Before Your Next Digital Transformation,How enterprise architects can help ensure success with digital transformations
-9086955082453789880,We are on the verge of a consumer M&A avalanche,Innovation is in all the wrong places,The new tech talent you need to succeed in digital,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The surprising truth about which countries lead in digital,Organizing for digital acceleration: Making a two-speed IT operating model work
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,"The ""Joel Test"" for Data Science",6 reasons why I like KeystoneML,Scala is the new golden child
-9028990334396397584,Xamarin for Everyone,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Governo define cronograma para plano nacional de Internet das Coisas,Goodbye accountants! Startup builds AI to automate all your accounting,Confused by blockchains? Revolution vs Evolution,Banking Needs a Customer Experience Wake-Up Call,Itaú é pioneiro do blockchain
-9019233957195913605,Berners-Lee quer criar outra Web,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Alecrim/AlecrimCoreData,Clean Coder Blog,Anti-If: The missing patterns
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?,Lean IT is all about people - o Lean na TI é focado em pessoas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,O que você deve fazer para se tornar um líder melhor?
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,Aplicação de visão computacional com OpenCV,"Autofill: What web devs should know, but don't",Acesse a versão Material Design do YouTube | Google Discovery,DualShock 4 Repair,Microsoft expands its support for Docker containers
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,New settings for 2-Step Verification,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Artificial intelligence is changing SEO faster than you think,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
